('Total Revenue', '395,760,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         623145 function calls (602333 primitive calls) in 4.242 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
       93    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
      217    0.000    0.000    0.061    0.000 __init__.py:287(compile)
      310    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
      153    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       38    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.303    0.303 socket.py:822(create_connection)
       28    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      644    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      644    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       29    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.777    0.777 client.py:324(begin)
       40    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        3    0.000    0.000    0.000    0.000 feedparser.py:102(push)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      300    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      261    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      102    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        1    0.000    0.000    0.002    0.002 parser.py:41(parse)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      100    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      247    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      155    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
    42/30    0.000    0.000    0.006    0.000 css_parser.py:569(parse_pseudo_class)
      387    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      252    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      118    0.000    0.000    0.000    0.000 <frozen _collections_abc>:827(items)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      375    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        4    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.039    0.039 css_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      178    0.000    0.000    0.000    0.000 typing.py:164(_type_convert)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.002    0.002 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.777    0.777 client.py:1384(getresponse)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:375(_freeze_relations)
      272    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      259    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      135    0.000    0.000    0.004    0.000 _parser.py:97(closegroup)
        1    0.000    0.000    0.086    0.086 __init__.py:209(__init__)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x105f83600}
        4    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
    40/26    0.000    0.000    0.060    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 ssl.py:1252(sendall)
      104    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.256    0.256 socket.py:958(getaddrinfo)
        2    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      668    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      257    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       30    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
        1    0.000    0.000    4.242    4.242 financial.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      168    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
        2    0.000    0.000    0.000    0.000 idna.py:179(encode)
        1    0.000    0.000    1.144    1.144 request.py:1278(do_open)
        1    0.000    0.000    0.000    0.000 client.py:261(__init__)
       24    0.000    0.000    0.000    0.000 message.py:511(set_raw)
      278    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      224    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
    38/29    0.000    0.000    0.006    0.000 css_parser.py:732(parse_pseudo_open)
      102    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        1    0.000    0.000    0.367    0.367 client.py:1467(connect)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.061    0.061 ssl.py:1365(do_handshake)
       25    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.084    0.084 element.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      126    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
        1    0.000    0.000    1.144    1.144 request.py:470(open)
        1    0.000    0.000    0.029    0.029 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
      256    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       41    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
       47    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.303    0.303 client.py:998(connect)
        1    0.000    0.000    0.707    0.707 client.py:291(_read_status)
       95    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      155    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
        6    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
      3/2    0.000    0.000    0.000    0.000 inspect.py:2477(_signature_from_callable)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.064    0.064 ssl.py:449(wrap_socket)
      271    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
       75    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        1    0.000    0.000    0.367    0.367 client.py:1027(send)
        1    0.000    0.000    4.016    4.016 financial.py:15(getHTML)
      182    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        6    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
   108/90    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      169    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10624a7a0}
        1    0.000    0.000    0.018    0.018 client.py:1(<module>)
        1    0.000    0.000    4.107    4.107 financial.py:21(main)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
      245    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       17    0.000    0.000    0.000    0.000 enum.py:498(__new__)
    28/27    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        5    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        4    0.000    0.000    0.005    0.001 element.py:1079(_find_all)
       69    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
        4    0.000    0.000    0.000    0.000 filter.py:378(__init__)
       41    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      102    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
       39    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
        9    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
      128    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       71    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
    59/40    0.000    0.000    0.001    0.000 typing.py:574(__getitem__)
    28/27    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       88    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
